Wav Time	B5-03859-P01-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03859-P01-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03859-P02-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03859-P02-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03859-P03-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03859-P03-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03859-P04-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03859-P04-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	 	B5-03858-P01-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03858-P01-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03858-P02-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03858-P02-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03858-P03-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03858-P03-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03858-P04-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03858-P04-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz
0.004996	B5-03859-P01-CH0	268572	OK	0.7987605	-0.0325029	0.6007706	0.0000000	-72.628	146.814	-147.199	B5-03859-P01-CH1	268572	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268572	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268572	OK	0.5743355	-0.7926215	-0.2046702	0.0000000	-38.867	189.461	-216.756	B5-03859-P03-CH0	268572	OK	0.8123812	0.4553606	0.3642574	0.0000000	-102.307	173.625	-240.444	B5-03859-P03-CH1	268572	OK	0.7137971	0.2654247	0.6481076	0.0000000	-134.676	134.566	-252.787	B5-03859-P04-CH0	268572	OK	0.7718702	-0.1011415	0.6276837	0.0000000	-59.742	241.240	-215.540	B5-03859-P04-CH1	268572	OK	0.6083728	0.1568336	-0.7780011	0.0000000	-31.500	166.139	-302.799	 	B5-03858-P01-CH0	268588	OK	0.9870235	0.1112779	0.1157662	0.0000000	16.951	22.675	-115.065	B5-03858-P01-CH1	268588	OK	0.8814925	0.4540661	-0.1295957	0.0000000	78.522	36.183	-267.163	B5-03858-P02-CH0	268588	OK	0.1109302	0.3775575	-0.9193176	0.0000000	12.480	186.056	-196.118	B5-03858-P02-CH1	268588	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268588	OK	0.9983100	0.0463399	-0.0350678	0.0000000	52.788	169.160	-183.960	B5-03858-P03-CH1	268588	OK	0.9362041	-0.0965367	-0.3379387	0.0000000	45.890	169.509	-185.395	B5-03858-P04-CH0	268588	Processing Error	0.1216764	0.9924434	-0.0158423	0.0000000	-459.964	1023.559	19.299	B5-03858-P04-CH1	268588	Processing Error	0.8586275	0.3735760	-0.3509983	0.0000000	-363.613	1210.444	-365.039
0.009992	B5-03859-P01-CH0	268576	OK	0.7988220	-0.0317943	0.6007266	0.0000000	-72.638	147.062	-147.248	B5-03859-P01-CH1	268576	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268576	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268576	OK	0.5741080	-0.7930593	-0.2036095	0.0000000	-38.747	189.548	-216.948	B5-03859-P03-CH0	268576	OK	0.8123125	0.4553448	0.3644304	0.0000000	-102.231	173.511	-240.211	B5-03859-P03-CH1	268576	OK	0.7133701	0.2659208	0.6483743	0.0000000	-134.664	134.639	-252.487	B5-03859-P04-CH0	268576	OK	0.7716497	-0.1017088	0.6278631	0.0000000	-59.922	241.074	-215.716	B5-03859-P04-CH1	268576	OK	0.6084186	0.1576960	-0.7777909	0.0000000	-31.490	165.629	-303.062	 	B5-03858-P01-CH0	268592	OK	0.9870242	0.1113346	0.1157061	0.0000000	16.957	22.681	-115.064	B5-03858-P01-CH1	268592	OK	0.8815750	0.4539696	-0.1293723	0.0000000	78.458	36.152	-267.210	B5-03858-P02-CH0	268592	OK	0.1110837	0.3787068	-0.9188262	0.0000000	12.451	186.047	-196.178	B5-03858-P02-CH1	268592	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268592	OK	0.9983092	0.0465621	-0.0347955	0.0000000	52.734	169.173	-183.927	B5-03858-P03-CH1	268592	OK	0.9361890	-0.0965669	-0.3379718	0.0000000	45.901	169.477	-185.361	B5-03858-P04-CH0	268592	Processing Error	0.1242312	0.9912783	0.0439769	0.0000000	-474.838	1012.572	11.003	B5-03858-P04-CH1	268592	Processing Error	0.8649732	0.3671638	-0.3420705	0.0000000	-369.279	1210.920	-384.518
0.014988	B5-03859-P01-CH0	268580	OK	0.7987190	-0.0318506	0.6008606	0.0000000	-72.635	146.957	-147.109	B5-03859-P01-CH1	268580	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268580	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268580	OK	0.5741762	-0.7931059	-0.2032356	0.0000000	-38.696	189.503	-216.912	B5-03859-P03-CH0	268580	OK	0.8123967	0.4552156	0.3644042	0.0000000	-102.240	173.507	-240.246	B5-03859-P03-CH1	268580	OK	0.7133402	0.2660031	0.6483735	0.0000000	-134.624	134.666	-252.419	B5-03859-P04-CH0	268580	OK	0.7716277	-0.1017497	0.6278835	0.0000000	-59.968	241.130	-215.686	B5-03859-P04-CH1	268580	OK	0.6086267	0.1580569	-0.7775548	0.0000000	-31.616	165.308	-302.763	 	B5-03858-P01-CH0	268596	OK	0.9870291	0.1113523	0.1156472	0.0000000	16.966	22.682	-115.064	B5-03858-P01-CH1	268596	OK	0.8815377	0.4540892	-0.1292063	0.0000000	78.399	36.179	-267.163	B5-03858-P02-CH0	268596	OK	0.1112606	0.3784912	-0.9188936	0.0000000	12.416	186.010	-196.131	B5-03858-P02-CH1	268596	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268596	OK	0.9983243	0.0464462	-0.0345159	0.0000000	52.680	169.135	-183.927	B5-03858-P03-CH1	268596	OK	0.9361397	-0.0964581	-0.3381395	0.0000000	45.930	169.521	-185.355	B5-03858-P04-CH0	268596	Processing Error	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268596	Processing Error	0.8885357	0.3226311	-0.3262107	0.0000000	-393.320	1231.358	-477.835
0.019984	B5-03859-P01-CH0	268584	OK	0.7988045	-0.0319143	0.6007436	0.0000000	-72.699	147.051	-147.244	B5-03859-P01-CH1	268584	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268584	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268584	OK	0.5740668	-0.7930829	-0.2036341	0.0000000	-38.692	189.375	-216.782	B5-03859-P03-CH0	268584	OK	0.8122331	0.4557866	0.3640548	0.0000000	-102.120	173.554	-240.083	B5-03859-P03-CH1	268584	OK	0.7138930	0.2657969	0.6478493	0.0000000	-134.457	134.593	-252.587	B5-03859-P04-CH0	268584	OK	0.7715132	-0.1022892	0.6279365	0.0000000	-60.105	240.989	-215.898	B5-03859-P04-CH1	268584	OK	0.6088112	0.1587850	-0.7772620	0.0000000	-31.714	164.965	-303.011	 	B5-03858-P01-CH0	268600	OK	0.9870237	0.1114809	0.1155695	0.0000000	16.972	22.695	-115.065	B5-03858-P01-CH1	268600	OK	0.8813659	0.4544033	-0.1292737	0.0000000	78.415	36.282	-267.105	B5-03858-P02-CH0	268600	OK	0.1114260	0.3807549	-0.9179379	0.0000000	12.389	185.917	-196.142	B5-03858-P02-CH1	268600	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268600	OK	0.9983214	0.0465794	-0.0344201	0.0000000	52.662	169.135	-183.874	B5-03858-P03-CH1	268600	OK	0.9361408	-0.0963211	-0.3381755	0.0000000	45.927	169.529	-185.314	B5-03858-P04-CH0	268600	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268600	Processing Error	0.9017020	0.3124842	-0.2988094	0.0000000	-438.332	1201.860	-519.909
0.024980	B5-03859-P01-CH0	268588	OK	0.7986905	-0.0319557	0.6008930	0.0000000	-72.660	146.849	-147.020	B5-03859-P01-CH1	268588	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268588	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268588	OK	0.5744208	-0.7928478	-0.2035514	0.0000000	-38.644	189.366	-216.620	B5-03859-P03-CH0	268588	OK	0.8124449	0.4557610	0.3636141	0.0000000	-102.015	173.440	-240.074	B5-03859-P03-CH1	268588	OK	0.7140239	0.2657002	0.6477447	0.0000000	-134.438	134.481	-252.596	B5-03859-P04-CH0	268588	OK	0.7715628	-0.1019124	0.6279368	0.0000000	-60.027	240.982	-215.669	B5-03859-P04-CH1	268588	OK	0.6086883	0.1583506	-0.7774469	0.0000000	-31.648	165.015	-302.772	 	B5-03858-P01-CH0	268604	OK	0.9870183	0.1115185	0.1155790	0.0000000	16.972	22.703	-115.067	B5-03858-P01-CH1	268604	OK	0.8812190	0.4546740	-0.1293240	0.0000000	78.392	36.342	-266.985	B5-03858-P02-CH0	268604	OK	0.1116908	0.3819276	-0.9174184	0.0000000	12.354	185.831	-196.135	B5-03858-P02-CH1	268604	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268604	OK	0.9983249	0.0465890	-0.0343059	0.0000000	52.642	169.123	-183.856	B5-03858-P03-CH1	268604	OK	0.9361853	-0.0963629	-0.3380403	0.0000000	45.903	169.476	-185.257	B5-03858-P04-CH0	268604	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268604	Processing Error	0.9047613	0.2920501	-0.3100221	0.0000000	-408.375	1160.101	-523.518
0.029976	B5-03859-P01-CH0	268592	OK	0.7988089	-0.0317629	0.6007458	0.0000000	-72.736	147.046	-147.188	B5-03859-P01-CH1	268592	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268592	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268592	OK	0.5744810	-0.7927815	-0.2036396	0.0000000	-38.656	189.360	-216.584	B5-03859-P03-CH0	268592	OK	0.8125359	0.4557364	0.3634416	0.0000000	-102.010	173.475	-240.167	B5-03859-P03-CH1	268592	OK	0.7135756	0.2663511	0.6479715	0.0000000	-134.419	134.588	-252.294	B5-03859-P04-CH0	268592	OK	0.7716006	-0.1024745	0.6277989	0.0000000	-60.099	240.805	-216.041	B5-03859-P04-CH1	268592	OK	0.6087338	0.1586268	-0.7773550	0.0000000	-31.674	164.864	-303.006	 	B5-03858-P01-CH0	268608	OK	0.9870346	0.1114884	0.1154691	0.0000000	16.985	22.700	-115.064	B5-03858-P01-CH1	268608	OK	0.8812218	0.4546779	-0.1292908	0.0000000	78.377	36.349	-266.956	B5-03858-P02-CH0	268608	OK	0.1115297	0.3819536	-0.9174272	0.0000000	12.398	185.860	-196.127	B5-03858-P02-CH1	268608	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268608	OK	0.9983405	0.0462655	-0.0342900	0.0000000	52.633	169.060	-183.887	B5-03858-P03-CH1	268608	OK	0.9362136	-0.0962535	-0.3379930	0.0000000	45.880	169.486	-185.236	B5-03858-P04-CH0	268608	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268608	Processing Error	0.9106610	0.2898341	-0.2944363	0.0000000	-423.494	1133.898	-522.139
0.034973	B5-03859-P01-CH0	268596	OK	0.7988355	-0.0305410	0.6007738	0.0000000	-72.883	146.990	-146.694	B5-03859-P01-CH1	268596	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268596	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268596	OK	0.5745951	-0.7926386	-0.2038740	0.0000000	-38.700	189.378	-216.570	B5-03859-P03-CH0	268596	OK	0.8124848	0.4555104	0.3638388	0.0000000	-102.144	173.513	-240.256	B5-03859-P03-CH1	268596	OK	0.7136147	0.2663347	0.6479351	0.0000000	-134.415	134.580	-252.314	B5-03859-P04-CH0	268596	OK	0.7716929	-0.1013732	0.6278643	0.0000000	-59.946	241.171	-215.569	B5-03859-P04-CH1	268596	OK	0.6084098	0.1574851	-0.7778406	0.0000000	-31.496	165.096	-302.599	 	B5-03858-P01-CH0	268612	OK	0.9870349	0.1114282	0.1155247	0.0000000	16.978	22.693	-115.067	B5-03858-P01-CH1	268612	OK	0.8813443	0.4543972	-0.1294426	0.0000000	78.424	36.260	-267.003	B5-03858-P02-CH0	268612	OK	0.1105923	0.3806934	-0.9180642	0.0000000	12.606	186.003	-196.136	B5-03858-P02-CH1	268612	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268612	OK	0.9983494	0.0462201	-0.0340920	0.0000000	52.593	169.031	-183.862	B5-03858-P03-CH1	268612	OK	0.9362977	-0.0962593	-0.3377584	0.0000000	45.822	169.464	-185.212	B5-03858-P04-CH0	268612	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268612	Processing Error	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.039969	B5-03859-P01-CH0	268600	OK	0.7989501	-0.0305406	0.6006214	0.0000000	-72.890	146.903	-146.680	B5-03859-P01-CH1	268600	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268600	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268600	OK	0.5744525	-0.7927345	-0.2039026	0.0000000	-38.698	189.374	-216.637	B5-03859-P03-CH0	268600	OK	0.8122668	0.4556987	0.3640896	0.0000000	-102.037	173.388	-239.874	B5-03859-P03-CH1	268600	OK	0.7136427	0.2664924	0.6478394	0.0000000	-134.303	134.548	-252.192	B5-03859-P04-CH0	268600	OK	0.7716456	-0.1020896	0.6278063	0.0000000	-60.101	241.017	-215.957	B5-03859-P04-CH1	268600	OK	0.6084693	0.1585800	-0.7775715	0.0000000	-31.465	164.385	-302.916	 	B5-03858-P01-CH0	268616	OK	0.9870352	0.1114332	0.1155168	0.0000000	16.979	22.693	-115.066	B5-03858-P01-CH1	268616	OK	0.8813484	0.4543625	-0.1295368	0.0000000	78.452	36.246	-266.970	B5-03858-P02-CH0	268616	OK	0.1119890	0.3827381	-0.9170442	0.0000000	12.305	185.738	-196.133	B5-03858-P02-CH1	268616	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268616	OK	0.9983684	0.0459698	-0.0338729	0.0000000	52.546	168.966	-183.879	B5-03858-P03-CH1	268616	OK	0.9362665	-0.0963958	-0.3378060	0.0000000	45.846	169.416	-185.188	B5-03858-P04-CH0	268616	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268616	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.044965	B5-03859-P01-CH0	268604	OK	0.7991216	-0.0304271	0.6003990	0.0000000	-72.790	146.683	-146.545	B5-03859-P01-CH1	268604	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268604	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268604	OK	0.5744572	-0.7926334	-0.2042820	0.0000000	-38.761	189.368	-216.664	B5-03859-P03-CH0	268604	OK	0.8122816	0.4563163	0.3632824	0.0000000	-101.749	173.313	-239.678	B5-03859-P03-CH1	268604	OK	0.7138081	0.2662647	0.6477509	0.0000000	-134.314	134.441	-252.264	B5-03859-P04-CH0	268604	OK	0.7718392	-0.1011372	0.6277225	0.0000000	-59.878	241.132	-215.493	B5-03859-P04-CH1	268604	OK	0.6080559	0.1575612	-0.7781019	0.0000000	-31.289	164.910	-302.732	 	B5-03858-P01-CH0	268620	OK	0.9870378	0.1113948	0.1155314	0.0000000	16.978	22.690	-115.069	B5-03858-P01-CH1	268620	OK	0.8813296	0.4543969	-0.1295437	0.0000000	78.446	36.249	-266.944	B5-03858-P02-CH0	268620	OK	0.1116054	0.3825105	-0.9171859	0.0000000	12.386	185.770	-196.133	B5-03858-P02-CH1	268620	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268620	OK	0.9985192	0.0445539	-0.0312157	0.0000000	52.018	168.472	-183.878	B5-03858-P03-CH1	268620	OK	0.9362244	-0.0965001	-0.3378928	0.0000000	45.868	169.396	-185.229	B5-03858-P04-CH0	268620	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268620	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.049961	B5-03859-P01-CH0	268608	OK	0.7993032	-0.0294805	0.6002044	0.0000000	-72.675	146.618	-146.477	B5-03859-P01-CH1	268608	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268608	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268608	OK	0.5745075	-0.7925292	-0.2045446	0.0000000	-38.813	189.399	-216.682	B5-03859-P03-CH0	268608	OK	0.8121840	0.4564861	0.3632872	0.0000000	-101.761	173.363	-239.647	B5-03859-P03-CH1	268608	OK	0.7137268	0.2665623	0.6477180	0.0000000	-134.295	134.480	-252.227	B5-03859-P04-CH0	268608	OK	0.7718410	-0.1018498	0.6276051	0.0000000	-59.997	240.953	-215.834	B5-03859-P04-CH1	268608	OK	0.6083163	0.1576453	-0.7778813	0.0000000	-31.442	164.854	-302.967	 	B5-03858-P01-CH0	268624	OK	0.9870138	0.1115623	0.1155751	0.0000000	16.970	22.709	-115.065	B5-03858-P01-CH1	268624	OK	0.8810815	0.4548057	-0.1297967	0.0000000	78.540	36.359	-267.012	B5-03858-P02-CH0	268624	OK	0.1112936	0.3827592	-0.9171200	0.0000000	12.455	185.780	-196.110	B5-03858-P02-CH1	268624	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268624	OK	0.9985268	0.0444943	-0.0310561	0.0000000	51.986	168.442	-183.863	B5-03858-P03-CH1	268624	OK	0.9361822	-0.0964849	-0.3380142	0.0000000	45.917	169.443	-185.252	B5-03858-P04-CH0	268624	Processing Error	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268624	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.054957	B5-03859-P01-CH0	268612	OK	0.7992024	-0.0285666	0.6003828	0.0000000	-72.758	146.739	-146.518	B5-03859-P01-CH1	268612	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268612	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268612	OK	0.5744348	-0.7925096	-0.2048250	0.0000000	-38.871	189.412	-216.736	B5-03859-P03-CH0	268612	OK	0.8122786	0.4566573	0.3628602	0.0000000	-101.637	173.290	-239.584	B5-03859-P03-CH1	268612	OK	0.7135701	0.2668785	0.6477604	0.0000000	-134.315	134.665	-252.274	B5-03859-P04-CH0	268612	OK	0.7721367	-0.1002953	0.6274917	0.0000000	-59.694	241.301	-215.063	B5-03859-P04-CH1	268612	OK	0.6080188	0.1568216	-0.7782803	0.0000000	-31.373	165.305	-302.613	 	B5-03858-P01-CH0	268628	OK	0.9870104	0.1115258	0.1156398	0.0000000	16.963	22.705	-115.068	B5-03858-P01-CH1	268628	OK	0.8808889	0.4552061	-0.1297004	0.0000000	78.528	36.467	-266.967	B5-03858-P02-CH0	268628	OK	0.1110787	0.3831321	-0.9169904	0.0000000	12.513	185.783	-196.119	B5-03858-P02-CH1	268628	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268628	OK	0.9985336	0.0445364	-0.0307755	0.0000000	51.930	168.440	-183.833	B5-03858-P03-CH1	268628	OK	0.9361846	-0.0965155	-0.3379987	0.0000000	45.926	169.432	-185.250	B5-03858-P04-CH0	268628	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268628	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.059953	B5-03859-P01-CH0	268616	OK	0.7990329	-0.0296384	0.6005564	0.0000000	-72.857	146.260	-146.444	B5-03859-P01-CH1	268616	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH0	268616	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03859-P02-CH1	268616	OK	0.5743423	-0.7928137	-0.2039053	0.0000000	-38.718	189.378	-216.676	B5-03859-P03-CH0	268616	OK	0.8123231	0.4564384	0.3630360	0.0000000	-101.770	173.341	-239.791	B5-03859-P03-CH1	268616	OK	0.7133071	0.2672214	0.6479087	0.0000000	-134.230	134.706	-251.955	B5-03859-P04-CH0	268616	OK	0.7718779	-0.1009605	0.6277033	0.0000000	-59.961	241.239	-215.382	B5-03859-P04-CH1	268616	OK	0.6081674	0.1572842	-0.7780707	0.0000000	-31.460	165.108	-302.808	 	B5-03858-P01-CH0	268632	OK	0.9870118	0.1114983	0.1156537	0.0000000	16.962	22.702	-115.067	B5-03858-P01-CH1	268632	OK	0.8809968	0.4550334	-0.1295734	0.0000000	78.466	36.432	-266.803	B5-03858-P02-CH0	268632	OK	0.1107586	0.3817983	-0.9175852	0.0000000	12.579	185.832	-196.064	B5-03858-P02-CH1	268632	Tool Missing	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P03-CH0	268632	OK	0.9985425	0.0443724	-0.0307246	0.0000000	51.919	168.405	-183.840	B5-03858-P03-CH1	268632	OK	0.9361768	-0.0967062	-0.3379660	0.0000000	45.932	169.404	-185.289	B5-03858-P04-CH0	268632	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03858-P04-CH1	268632	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
